��¥,����,������(mm)
2020-04-17,108,6.5
2020-04-18,108,
2020-04-19,108,10.3
2020-04-20,108,0.1
2020-04-21,108,
2020-04-22,108,0
2020-04-23,108,
2020-04-24,108,
2020-04-25,108,
2020-04-26,108,
2020-04-27,108,
2020-04-28,108,
2020-04-29,108,
2020-04-30,108,
2020-05-01,108,
2020-05-02,108,0
2020-05-03,108,0
2020-05-04,108,
2020-05-05,108,
2020-05-06,108,
2020-05-07,108,
2020-05-08,108,2.3
2020-05-09,108,24.4
2020-05-10,108,1.3
2020-05-11,108,3.4
2020-05-12,108,0.7
2020-05-13,108,
2020-05-14,108,
2020-05-15,108,12
2020-05-16,108,2.5
2020-05-17,108,0
2020-05-18,108,29.8
2020-05-19,108,19
2020-05-20,108,0
2020-05-21,108,
2020-05-22,108,0
2020-05-23,108,0
2020-05-24,108,14.5
2020-05-25,108,
2020-05-26,108,1.5
2020-05-27,108,
2020-05-28,108,0
2020-05-29,108,
2020-05-30,108,
2020-05-31,108,1
2020-06-01,108,0.4
2020-06-02,108,2
2020-06-03,108,
2020-06-04,108,0.2
2020-06-05,108,
2020-06-06,108,
2020-06-07,108,
2020-06-08,108,
2020-06-09,108,
2020-06-10,108,6.2
2020-06-11,108,0
2020-06-12,108,
2020-06-13,108,0
2020-06-14,108,1.1
2020-06-15,108,
2020-06-16,108,
2020-06-17,108,
2020-06-18,108,
2020-06-19,108,0.1
2020-06-20,108,
2020-06-21,108,
2020-06-22,108,
2020-06-23,108,0
2020-06-24,108,37.6
2020-06-25,108,13.3
2020-06-26,108,2.1
2020-06-27,108,0
2020-06-28,108,
2020-06-29,108,11.9
2020-06-30,108,64.7
2020-07-01,108,0
2020-07-02,108,
2020-07-03,108,0.1
2020-07-04,108,1.6
2020-07-05,108,
2020-07-06,108,
2020-07-07,108,0
2020-07-08,108,
2020-07-09,108,
2020-07-10,108,2.2
2020-07-11,108,
2020-07-12,108,2.9
2020-07-13,108,47.6
2020-07-14,108,11.5
2020-07-15,108,
2020-07-16,108,
2020-07-17,108,0
2020-07-18,108,
2020-07-19,108,29.1
2020-07-20,108,3.6
2020-07-21,108,0
2020-07-22,108,11.5
2020-07-23,108,103.1
2020-07-24,108,2.9
2020-07-25,108,0
2020-07-26,108,0
2020-07-27,108,2.2
2020-07-28,108,0.4
2020-07-29,108,50.1
2020-07-30,108,0.1
2020-07-31,108,1.5
2020-08-01,108,39.1
2020-08-02,108,31.4
2020-08-03,108,102.6
2020-08-04,108,3.9
2020-08-05,108,18.5
2020-08-06,108,75.7
2020-08-07,108,0
2020-08-08,108,19.1
2020-08-09,108,50.3
2020-08-10,108,44.6
2020-08-11,108,97
2020-08-12,108,
2020-08-13,108,
2020-08-14,108,0.4
2020-08-15,108,69
2020-08-16,108,
2020-08-17,108,
2020-08-18,108,
2020-08-19,108,
2020-08-20,108,
2020-08-21,108,2.5
2020-08-22,108,42.6
2020-08-23,108,
2020-08-24,108,
2020-08-25,108,
2020-08-26,108,0.6
2020-08-27,108,8.7
2020-08-28,108,13.6
2020-08-29,108,13.6
2020-08-30,108,42.5
2020-08-31,108,0
2020-09-01,108,0
2020-09-02,108,33.3
2020-09-03,108,29.8
2020-09-04,108,
2020-09-05,108,
2020-09-06,108,6.4
2020-09-07,108,61
2020-09-08,108,0
2020-09-09,108,1.3
2020-09-10,108,3.9
2020-09-11,108,1.2
2020-09-12,108,5.7
2020-09-13,108,
2020-09-14,108,0
2020-09-15,108,
2020-09-16,108,0.3
2020-09-17,108,
2020-09-18,108,
2020-09-19,108,0.3
2020-09-20,108,
2020-09-21,108,
2020-09-22,108,
2020-09-23,108,
2020-09-24,108,
2020-09-25,108,
2020-09-26,108,
2020-09-27,108,
2020-09-28,108,
2020-09-29,108,
2020-09-30,108,38.3
