,title,body
196,Moon's UN speech falls flat,"






     President Moon Jae-in gives a video speech for the United Nations General Assembly on Wednesday, Korean time. [YONHAP]               President Moon Jae-in’s speech calling for the international community to support a formal end to the Korean War is getting poor reviews and being ignored by the countries most involved: the United States, China and North Korea.            “In his keynote speech for the United Nations General Assembly, Moon said an end-of-war declaration will open the door to complete denuclearization and permanent peace on the Korean Peninsula,” said Rep. Yun Hee-suk, spokesman for the People Power Party (PPP), on Wednesday. “One year and two months ago, the president made a similar remark. We wonder how useful this proposal is in our current situation.”             Moon delivered a speech by video to the 75th UN General Assembly in New York on Tuesday. The UN held the event via video link due to the coronavirus pandemic, and Moon's speech was aired early Wednesday morning in Seoul. Among more than 170 leaders who participated in the meeting, Moon was the 10th to speak.           ""I hope that the UN and the international community provide support so that we can advance into an era of reconciliation and prosperity through the end-of-war declaration,"" Moon said. ""The end-of-war declaration will, indeed, open the door to complete denuclearization and permanent peace regime on the Korean Peninsula.""           The two Koreas remain in a technical state of war. In 1953, an armistice agreement was signed by the UN Command, North Korea and China.             ""Peace on the Korean Peninsula will guarantee peace in Northeast Asia as a whole and, going one step further, bring positive changes to the world order as well,"" Moon said in his speech. ""I believe it begins with declaring an end to the war, an act that can affirm mutual commitments to peace.""           Moon’s claim that an end to the conflict would ""open the door to complete denuclearization” is a change from his previous position that progress needed to be made toward denuclearization of North Korea as a precondition for an end-of-war declaration.           In a 2018 UN General Assembly speech, Moon said, ""I look forward to seeing bold measures for denuclearization implemented among the related countries, leading to the declaration to end the war.""             During the first years of Moon's presidency, expectations were high that inter-Korean relations and North-U.S. relations would see real progress toward denuclearization. In 2018, inter-Korean relations progressed rapidly, and Moon held three summits with North Korean leader Kim Jong-un in that year. Negotiations between Pyongyang and Washington were also active.           But expectations faded after a second summit between Kim and U.S. President Donald Trump in February 2019 collapsed. Inter-Korean relations also became frozen.           Moon’s latest proposal gained no immediate response from the countries that would be involved in replacing the Korean War armistice with a declaration of a formal ending of the war.           U.S. President Trump and Chinese President Xi Jinping also delivered speeches for the UN General Assembly, and North Korea issues were conspicuously missing in them.           North Korea made no response to Moon’s speech as of Wednesday afternoon.           The Blue House defended Moon’s speech Wednesday, although it admitted that a formal ending of the Korean War won’t be realized quickly.           “A speech of a political leader is an expression of his will and commitment,” a senior presidential aide said.           He said it has been a consistent position of the Moon administration to replace the armistice. That was also agreed between Moon and Kim during their first summit in 2018 and between Trump and Kim in their first summit in Singapore, he said, although no actual progress has been made.           “In order to create a breakthrough, the president did what he can do to restart the stalled clock of denuclearization and peace regime,” the aide said.             According to Blue House sources, Moon and his security aides spent weeks debating whether the proposal should be part of the UN speech or not. While some protested, citing North Korea’s recent snubs, Moon decided to include it, they said.           In his speech, Moon also proposed establishing a regional public health organization and using it as a means to guarantee security to the North.             ""Hoping that the international community views the issues surrounding the Korean Peninsula through the lens of more inclusive international cooperation, I propose today launching a Northeast Asia Cooperation Initiative for Infectious Disease Control and Public Health, whereby North Korea participates as a member along with China, Japan, Mongolia and the Republic of Korea,"" he said, using South Korea's formal name.           ""A cooperative architecture that guarantees collective protection of life and safety will lay the groundwork for North Korea to have its security guaranteed by engaging with the international community.""           The countries mentioned in Moon’s speech apparently gave no immediate responses.           BY SER MYO-JA   [ser.myoja@joongang.co.kr]   "
197,Bank of Korea expands support for small businesses,"

                  The central bank said Wednesday it will further expand financial support for smaller merchants and firms to help them ease a funding squeeze amid the new coronavirus outbreak.           The Bank of Korea (BOK) said it has decided to raise the cap on its low-rate loans to banks by 8 trillion won ($6.88 billion) to 43 trillion won. The decision will be approved by the monetary board Thursday.           Under the scheme, the bank provides funds to local banks at an interest rate of 0.25 percent to encourage them to extend lending to smaller merchants and companies.           Of the newly added funds, 3 trillion won each will be set aside for small merchants and companies that have suffered financial damage from the virus outbreak.           The remaining 2 trillion won will be reserved for lending to startups and parts and equipment producers to support their facility investment, the bank said.           Bank loans to smaller firms and self-employed people grew 6.1 trillion won in August, as they took out fresh loans to cushion the virus fallout, according to separate data from the central bank.                 Yonhap           "
198,YG Entertainment finishes construction of new headquarters,"

     YG Entertainment's new headquarters in Hapjeong-dong, Mapo District, western Seoul. [YG ENTERTAINMENT]               YG Entertainment announced Wednesday that the construction of its new headquarters, which took four years, has finally reached a conclusion.             The new nine-story building in Hapjeong-dong in Mapo District, western Seoul, is located right next to the former headquarters of the agency and is about 10 times larger than the old building.             The old and new building will be connected with a sky bridge, said the company.           The new building is equipped with spacious dance studios, high-tech recording studios as well as a gym and a whole floor dedicated to a cafeteria.          Due to security reasons, the company couldn’t secure a separate zone for the fans inside the new building but rented a newly established building right across from the headquarters to turn it into a cafe and an exhibition area so that the fans can freely relax and spend time.           “There have been so many fans who pace up and down in front of the YG building, especially those who came all the way to Korea from different parts of the world, just to catch a glimpse of the YG artists,” said an official from the company.            “The problem was that they were still there even under the scorching sun or in bitter cold. It really worried us. And having no restrooms nearby as well.”           The building dedicated for the fans, according to YG Entertainment, will be ready by the end of this year.           BY YIM SEUNG-HYE   [sharon@joongang.co.kr]         "
199,Gov't vows to spend extra budget with dispatch,"

     Prime Minister Chung Sye-kyun, left, and Finance Minister Hong Nam-ki walk into a cabinet meeting at the government complex in central Seoul on Wednesday. The National Assembly approved a 7.8 trillion won ($6.9 billion) fourth supplementary budget late Tuesday. [YONHAP]               The government vowed to quickly spend the fourth supplementary budget of 7.8 trillion won ($6.9 billion) that was approved by the National Assembly late Tuesday.             “Speed is the essence of a supplementary budget,” Prime Minister Chung Sye-kyun said on Wednesday during a cabinet meeting held to approve last-minute changes to the budget made by the legislature.              He likened the spending of the budget to the first four minutes that determine the fate of a patient who has a heart attack.             “The supplementary budget should be like the cardiopulmonary resuscitation of a patient in an emergency situation,” Chung said.           He asked government departments to make sure spending reaches people in need.             “While the supplementary budget has been created with difficulty [and financed] through debt, it is a fact that it is not enough to fully recover from the damages [inflicted by the coronavirus pandemic],” Chung said. “Yet, we will do our best so that the people will be able to enjoy a warm Chuseok and be able to use [the supplementary budget support] to rebound [from hardship].”           The government has stressed that the budget is focused on self-employed business badly affected by the resurgence of the coronavirus since mid-August.             Starting Thursday, the government will be accepting applications from self-employed businesses as well as freelancers, private tutors and door-to-door salesperson for subsidies.           This also includes room salons (hostess bars) and cola-tech joints (no-alcohol dance clubs for teenagers). Even taxi drivers will be eligible to apply for the subsidy.             Previously, private taxi drivers were eligible. Now, even those who work for taxi companies will be able to apply. If approved, each will receive 1 million won.             However, approval will depend on the length of their time on the job as well as the amount of losses they have suffered due to the pandemic.             For small businesses with annual revenues below 400 million won, the subsidy is up to 2 million won. Applications can be made online.             Some 3.4 trillion won — 44 percent of the total supplementary budget — will be used to support small businesses. That was increased from an initial proposal of 3.3 trillion won.             The government estimated that it can offer support to 2.94 self-employed people, which is roughly 87 percent of such businesses.           In the budget, 100 billon won will be used to pay 500,000 won each to 200,000 self-employed business owners forced to close. The government hopes the 500,000 won will be used to start a new business or land a job.           The government started accepting applications from freelancers and door-to-door salesmen for the up to 1.5 million won emergency employment stabilization subsidy starting Wednesday. The first payment is likely to be made today.             Some 500,000 people already received 1.5 million won subsidies from the third supplementary budget in July. They are eligible for 500,000 won more from the fourth extra budget. New applicants, which the government estimates at 200,000, will receive 1.5 million won.           The government hopes to complete distribution of the subsidies to the first group by Sept. 29.           The second will likely receive their subsidies in November.           Additionally, the government will be handing out expanded child care support.           Previously it was planning to give 200,000 won to families for each child in elementary or younger. That was expanded to include middle school kids, who will receive 150,000 won each.           The child care budget was raised from 1.1 trillion won to 1.3 trillion won.             As agreed between the ruling Democratic Party and the opposition People Power Party on Tuesday, a phone bill subsidy has been cut from 930 billion won to 400 billion won and will only be given to people between the ages of 16 and 34 and 65 or older.           The government estimated that 20.4 million people will benefit from the 20,000 won subsidy.             On late Tuesday, the National Assembly approved the nation’s fourth supplementary budget for this year.           BY LEE HO-JEONG   [lee.hojeong@joongang.co.kr]   "
200,Ryu and Kim hope to end on a high in final starts of the season,"

     Ryu Hyun-jin of the Toronto Blue Jays, left, and Kim Kwang-hyun of the St.Louis Cardinals will make their starts on the same day for the fourth time this season on Thursday. [AP/YONHAP, REUTERS/YONHAP]         For the fourth and the final time this season, the two Korean major leaguers will be starting on the same day on Thursday. With the clock winding down on the shortened 2020 season, they'll both be looking to finish strong.          Ryu Hyun-jin of the Toronto Blue Jays and Kim Kwang-hyun of the St. Louis Cardinals have regularly made headlines this season as they seem to have almost identical schedules. Expectations have been high every time they've played that they might finally pick up wins on the same day, but so far that hasn't happened.          This will be the fourth time this season that the two have started on the same day and once again, fans will be hoping to see both pitchers pick up wins for the first time in history.           Ryu will start his game first against the New York Yankees at Sahlen Field in Buffalo, New York. The game will start at 6:37 p.m. on Thursday, or 7:37 a.m. on Friday in Korea.           This will be Ryu’s second time pitching against the Yankees this season and his old struggles against the New York side have continued so far. Last time Ryu pitched against the Yankees, he walked away with a no-decision, but it was one of his worst games with the Blue Jays. Throughout five innings, Ryu gave up five runs, including three homers.           Thanks to the Blue Jays’ incredible scoring streak — 10 runs at the bottom of the sixth inning — Ryu avoided a loss.           Throughout his career in the major league, the Yankees seemed to be one of Ryu’s biggest weaknesses. Back when he played for the Los Angeles Dodgers, he started against the Yankees twice, picking up losses in both games.             Ryu faced the Yankees for the first time back in June 2013. During that game, Ryu picked up a loss by giving up three runs and five hits, which included a home run, throughout six innings.           Last season he faced the Yankees for a second time, once again picking up a loss and giving up seven runs and nine hits including three homers, throughout four and one-third of an inning.           This season with the Blue Jays, Ryu has picked up four wins and two losses with a 3.00 ERA. Although he hasn't picked up as many wins as he used to back when he played for the Dodgers, he has been highly complimented by the manager and his teammates.             Although the Blue Jays are ranked third in the American League East division, the young team still has a slim shot at playing in the postseason as the Blue Jays can play in the wildcard if they manage to finish their season strong and keep their winning percentage high enough.           While Ryu hopes to end his nightmare against the Yankees and cement his role as the Blue Jays’ ace pitcher, Kim is looking to end his rookie season on a high note.           Just a little less than two hours into Ryu’s game, Kim will also be making his last start of the season against the Milwaukee Brewers at Busch Stadium in St. Louis, Missouri, starting at 7:15 p.m., or 9:15 a.m. on Friday in Korea.           Kim joined the Cardinals this season with the hope of making the club’s starting rotation. As the Cardinals lacked left-handed pitchers, there were signs that Kim could end up debuting as a starter, but it wasn't to be and he started his MLB career in the bullpen.           Kim picked up one save for the Cardinals and was given an unexpected shot as a starter when a number of Cardinals players tested positive for the coronavirus.           Kim didn’t disappoint. Pitching in three and two-thirds of an inning for the Cardinals against the Chicago Cubs on Aug. 17, Kim gave up one run and walked away with a no-decision.           Then in his next start against the Cincinnati Reds on Aug. 22, Kim continued to impress by tossing six scoreless innings to pick up his first-ever win in a major league game.           Kim briefly dropped out of the rotation with a kidney ailment but that didn’t affect his performance for the season as he’s continued his strong pitching. He was added onto the Cardinals’ injured list but quickly came back to the rotation. Kim has picked up two wins, no losses and is heading into the last match of his rookie season with an astounding ERA of 1.59.           Just like the Blue Jays, the Cardinals also have a shot at the postseason.           BY KANG YOO-RIM   [kang.yoorim@joongang.co.kr]         "
201,Kakao Bank to start preparing to go public,"

     Kakao Bank CEO Yun Ho-young speaks during an online conference in April. [KAKAO BANK]               Kakao Bank, one of two internet-only banks in Korea, said its board decided to start preparations for an initial public offering (IPO) at a meeting Wednesday.           The bank will now decide when it should go public and on which market in Korea. How many shares it will offer has also not been decided yet, according to the bank.             “Kakao Bank’s IPO is to secure capital for continuous growth,” the company said in a release.           It said it would decide on the auditor and lead underwriters within this year.           Once the underwriters are decided, it takes an average of six months before going public on the market unless faced with unexpected hurdles such as being evaluated as underqualified by the Korea Exchange.           Kakao Games, for example, selected its underwriters in April and went public on the secondary Kosdaq in September.           The bank was founded in 2017 as a second mover in the industry after K bank.           Its capital totals 1.8 trillion won ($1.5 billion) as of Sept. 23. Its biggest shareholder is tech giant Kakao, holding 33.5 percent, followed by Korea Investment Value Asset Management with 28.6 percent. KB Kookmin Bank has a 9.86 percent share and Korean game company Netmarble has a 3.93 percent stake.           Kakao Bank turned to profit in 2019, two years after its foundation, by posting 13.7 billion won in net profit, a 166 percent jump compared to the previous year. In the first half of this year, it recorded 45.3 billion won in net profit, a 371.9 percent year-on-year jump.           Its number of active users stands at 12.9 million.           Amid the heated subscription competition in Korea’s IPO market, interest in Kakao Bank’s public registration among retail investors is already high.            Kakao Bank’s shares are being traded at 108,000 won per share over the counter on Sept. 23, amounting to 39.4 trillion won in market capitalization.           BY JIN EUN-SOO   [jin.eunsoo@joongang.co.kr]   "
202,Boy band Treasure puts the 'T' in teamwork ,"

     Boy band Treasure [YG ENTERTAINMENT]               It’s only been a month since YG Entertainment’s newest boy band Treasure made its powerful debut with “Boy,” but it’s back again — this time, sporting a level of teamwork that has heightened even more since its debut.           Treasure’s new single “The First Step: Chapter Two” dropped on Sept. 18, a month after its debut single “The First Step: Chapter One” was released on Aug. 7. The band’s first lead track “Boy” was a hip-hop base dance track that was enough to make an impact on the listeners with its dynamic melody and catchy lyrics. The band’s newest lead track, “I Love You,” takes that one step further.           “We wanted to grab the hearts of the listeners with a faster and more powerful sound than the debut track ‘Boy,’” said Doyoung in an email interview with the Korea JoongAng Daily. “It’s also our confession of our love to our fans.”           For “I Love You,” the 12 members of Treasure donned school uniform-style costumes to achieve a contrasting image of a young boy in love, who confesses his feelings with a powerful performance and cool look. “I Love You” carries a story that’s linked to “Boy,” where the members sing about their love in a straightforward manner. The group will be sporting various uniform costumes for the staged performances to come, all different in colors and style.           “It might be because we have a lot of members who are actually used to wearing school uniforms [because of our age], but we really liked this school-look style,” said Asahi.              Boy band Treasure [YG ENTERTAINMENT]               Another change visible within “I Love You” is that the teamwork between the members has grown over the past month. This is evident from the choreography routine the band pulled off that requires even more skills and synchrony than “Boy.” Having 12 members may seem like a lot of work, but it’s that very diversity that makes Treasure all the more special, according to the band, which gave the answer as a whole group.           “We think that because there are 12 members, we can show people 12 different charms — and this is what makes us special. Our teamwork is great, because we’ve spent so much time together. And we think that people still like us from the content we’ve presented through our YouTube channel even before our debut, like the ‘Treasure Map’ reality series and the cover videos [of other acts’ music]. On the stage, we show our powerful side. In our reality content, we show our friendly side. I think people like us for this and believe in our potential,” the band said.           So Jung-hwan added, “The performance has become a lot more powerful than ‘Boy,’ and the movement of the 12 members has evolved to become more organically connected. And I also hope people will pay attention to the tough dance moves as well as the addictive lyrics. There’s a part in the refrain where we repeat the words ‘I love you’ and that’s the best part.”              Captured images from the music video of boy band Treasure's new song ""I Love You."" [YG ENTERTAINMENT]               Having to prepare for a song right after their debut may have been a challenge for the group, but it was worth all the hard work to be able to give more music to the fans, according to the group. Members Choi Hyun-suk, Yoshi and Haruto once again took part in writing the lyrics of the song, as well as “Bling Like This,” an additional track included with the single. To see their ideas turn into real music gives them a fulfilling sensation that makes them more proud to take part, said Choi.           “Every musical instrument does its job,” said Choi. “And I think Treasure is like an instrument in a way. Each instrument that cannot be replaced by any other comes together to make the best music. The three of us had so much fun, just as we did for the last release. We depended on each other and had fun together.”           Nearing the Korean Chuseok harvest holidays, members say they will be spending time together as usual — especially since the group includes four members who are Japanese and cannot visit home due to the coronavirus.           “Talking to the members helps me to relieve so much stress. I remember how Haruto would come and comfort me when I was distressed in the past. I felt very grateful,” said Park Jeong-woo.           So added, “There was a scene in the music video for ‘I Love You’ that we shot at the seaside. I want to travel to the sea with the members one day. The wind was so cool when we were shooting, and we got to make precious memories together.”           Treasure aims to grow to become a leading K-pop act just like the other big-name stars also signed to YG Entertainment such as Blackpink and Big Bang. Blackpink recently collaborated with pop star Selena Gomez for a single titled “Ice Cream” released last month, and Treasure hopes to follow in the girl group's footsteps.            Members Choi and Jihoon picked YG’s artists G-Dragon, Mino, Bobby and Taeyang to collaborate with, while Bang Ye-dam extended his wish to outside of Korea.           “I would like to collaborate with [Indonesian singer] Niki,” said Bang. Jihoon also added, “I would like to work with The Weeknd in the future.”           As the Covid-19 pandemic continues, the members of Treasure wished people health and safety, and to cheer up listening to their music.              Boy band Treasure [YG ENTERTAINMENT]               “We are all going through hard times due to the prolonged Covid-19 pandemic, but you all know that staying safe and healthy is the most important thing, right?” said Jihoon. “I hope you can all stay healthy until the day we can meet again. Some people message us saying that we help them stay happy, and that makes us even happier and allows us to try harder. I hope the day comes soon where we can enjoy the stage together with everyone.”           Choi added, “Music is a powerful medium that can deliver both joy and consolation. We would like to sometimes give joy to people, and sometimes consolation, through our music.”           Treasure aims to finish “The First Step” series by the end of this year, with two more albums. The group will pursue a variety of promotional schedules, such as music programs and TV entertainment shows. Rather than going solo or forming subunits, the group will focus on the whole of Treasure for the time being, but options remain open for the future, the band said.            BY YOON SO-YEON   [yoon.soyeon@joongang.co.kr]   "
203,Losing streak snapped as Kospi gains 0.03%,"

     A screen shows the closing stats for the Kospi in a trading room at Hana Bank in Jung District, central Seoul, Wednesday. [NEWS1]                Stocks snapped a two-day losing streak to inch higher Wednesday on the back of retail investors' bargain-hunting. The won rose against the dollar.           After choppy trading, the benchmark Kospi rose 0.65 points, or 0.03 percent, to close at 2,333.24. In the previous session, the index fell 2.38 percent.           Trading volume was moderate at about 725 million shares worth some 13.4 trillion won ($11.5 billion), with losers outnumbering gainers 439 to 388.           Retail investors purchased a net 328 billion won, while foreigners sold a net 56 billion won. Institutions offloaded a net 281 billion won.           Major tech stocks remained in positive terrain, but battery makers suffered a drop.           Chemical maker LG Chem fell 1.41 percent to 630,000 won, and rechargeable battery maker Samsung SDI dropped 2.24 percent to 436,500 won.           Local analysts said investors were disappointed with Tesla's Battery Day, a big event for global stock markets. Investors had anticipated a new battery technology, whereas the U.S. electric vehicle (EV) maker just introduced a productivity enhancement strategy.           ""The Kospi had started bullish on Wall Street gains, but disappointed with Tesla's announcement, investors dumped related stocks,"" Kiwoom Securities analyst Seo Sang-young said.           Most large caps closed lower.           Samsung Electronics added 0.69 percent to 58,600 won, and chipmaker SK hynix jumped 2.83 percent to 83,600 won.           Pharmaceutical firm Samsung Biologics dipped 3.56 percent to 705,000 won, and Celltrion shed 0.75 percent to 266,000 won.           Amorepacific lost 0.31 percent to 162,500 won, and Korean Air gained 0.82 percent to 18,550 won.           Internet portal giant Naver jumped 4.22 percent to 296,500 won, with its rival Kakao up 3.54 percent to 365,500 won.           NCSoft jumped 2.29 percent to 805,000 won, while rival Netmarble lost 3.59 percent to 174,500 won.           Hyundai Motor, the country's largest automaker, closed flat at 179,500 won, while its affiliate Kia Motors lost 0.65 percent to 46,000 won. The country’s steelmaker Posco edged up 0.26 percent to 195,000 won.           The secondary Kosdaq added 0.73 points, or 0.09 percent, to close at 843.45.             The local currency closed at 1,164.4 won per dollar, down 0.6 won from the previous session's close.           Bond prices, which move inversely to yields, closed mixed. The yield on three-year bonds lost 1.4 basis points to 0.883 percent, and the return on 10-year bonds rose 0.7 basis points to 0.67 percent.           BY CHEA SARAH, YONHAP   [chea.sarah@joongang.co.kr]         "
204,Are Park Byung-ho's injuries a sign he's starting to slide?,"

     Park Byung-ho of the Kiwoom Heores [YONHAP]               The 2020 season is an important one for a number of veteran players in the KBO, with an unusual number nearing free agency in the next couple of years.            Although Kiwoom Heroes’ slugger Park Byung-ho won’t earn his free agent status this year, he will become a free agent in 2021. Since he has less than two years remaining, injury can be crucial.           Having returned to the KBO after his two-year stint in the major league — playing for the Minnesota Twins in 2016 and 2017 — injuries have been a major problem in his career.           This year was no exception.           During the Heroes’ game against the NC Dinos on Aug. 19 in Changwon, South Gyeongsang, Park was hit by a pitch on his left hand. After getting his hand checked, it was originally reported that he is expected to miss about three weeks. However, due to his slower-than-expected recovery, Park’s still out of the Heroes roster.           “As his bones haven’t healed completely, it’s expected to take about another month for him to fully recover,” said Heroes manager Son Hyuk on Sept. 16.           But this doesn’t mean that Park will be back in the Heroes’ lineup within a month. Since he needs to wait for his hand to heal before starting his rehabilitation and training, it is highly unlikely that Park will appear in the batter’s box in the regular season this year.           Until his injury, Park had played in 83 games for the Heroes this season with a batting average of 0.229, 20 home runs and 58 RBIs. Since 2012, this is the first time that he has failed to play in less than 100 games in a single season.           Looking at his performance this season, Park was fairly inconsistent. His batting average of 0.229 is the lowest since he joined the Heroes in 2011.           Although Park is unlikely to play 100 games, he still managed to make headlines this season when he hit his 20th home run of the season back on Aug. 11 during a game against the Hanwha Eagles. By hitting his 20th home run of the season, Park became only the second player in KBO history to knock 20 home runs out of the park in seven straight seasons.             His record ties that of former Samsung Lions slugger Lee Seung-yuop. As Lee retired in 2017, Park has a shot at setting a new record if he manages to hit 20 home runs or more next season.           When Park returned to the KBO in 2018 after two seasons in the major league, his impact was immediate, finishing the season with a 0.345 batting average with 43 home runs and 112 RBIs.           Forty-three home runs was good enough for him to win the KBO’s home run title for a fourth straight season, since 2012.           Even last year, when the KBO changed its official baseball and a lot of the top sluggers suddenly lost their power, it didn’t seem to affect Park significantly, as he still managed to hit 33 home runs to once again take home the home run title.             But while Park is still a threat in the batter’s box, his slugging percentage this season suggests the glory days may be over.           Back in 2018, Park was the only batter in the KBO to have a slugging percentage above 0.700, at 0.718. However, that number has been decreasing significantly each season, at 0.560 in 2019 and down to 0.469 this year.           Park has also been striking out more. Last season, Park struck out 117 times throughout 122 games in the regular season, but this year, he already struck out 102 time in 83 games.           “This season, I’m having a hard time figuring out the timing of my batting,” Park said. “As I lost consistency at-bat significantly, I started to lose confidence.”           Park’s number may be getting worse but that doesn’t mean that he’s not worth much for the Heroes. As a veteran, Park has been a huge help to his younger teammates. Since he can’t play, Park has been throwing batting balls to his teammates before the game and advising to the young players.            “Since the start of the season, he’s been saying that he’ll help a lot as a veteran [on the team],” Son said. “Even when his stats weren’t good, he would encourage the younger players in the dugout and has been helping a lot. Since he’s in a situation where he can’t play, he is probably going through the hardest time and is the most disappointed.”           Park is likely to miss the rest of the Heroes’ regular season but things could change if the club advances to the postseason. As the Heroes are ranked second as of Wednesday, they are very likely to head to the playoffs.           Currently, the expected end date to the KBO’s 2020 regular season is Oct. 18, but that could change as some teams will have to play canceled games.           Keeping that in consideration, the postseason this year is expected to be extended until the end of November, at the latest. If the Heroes advance to the Korean Series, it is highly likely that the fans will see Park return to the roster.             BY PARK SO-YOUNG, KANG YOO-RIM   [kang.yoorim@joongang.co.kr]   "
205,Director Na Hong-jin teaming up with Thai filmmaker Banjong Pisanthanakun,"

     Korean director Na Hong-jin, left, and Thai director Banjong Pisanthanakun. [SCREEN CAPTURE]               Exciting news for moviegoers as the talk around the town is that Korean film director Na Hong-jin of the hit film “The Wailing” (2016) is teaming up with popular Thai filmmaker Banjong Pisanthanakun to create a new movie “Rangjong” (working title).             “Rangjong” means “psychic” in Thai.             Fans of Na’s previous hit “The Wailing” have been highly anticipating his next movie and “Rangjong” arrives “just in time,” said the film’s distribution company Showbox on Wednesday.            It added that “Rangjong” is Na’s “global project with the Thai director, who opened a new chapter in horror movies in Thailand.”           Pisanthanakun found early success in his 20s with his first two films “Shutter” (2004) and “Alone” (2007).            His 2003 comedy romance film “Pee Mak” became the first movie in Thailand to attract 10 million viewers, earning him recognition as the country's star director.             The collaboration of the two popular directors has caught the attention of the film industry in other parts of the world too.           French distributor The Jokers Films is reported to have already decided to distribute “Rangjong” in France.            The Jokers Films is one of the first distributors that highly praised Korean films like “Parasite” (2019) and “The Handmaiden” (2016) at the Cannes International Film Festival.           “Rangjong” is slated to hit theaters worldwide next year.             BY YIM SEUNG-HYE   [sharon@joongang.co.kr]   "
206,KB Securities signs a fintech venture deal with Zum,"

     KB Securities CEO Park Jeong-rim left and Zum internet CEO Kim Woo-seung take a commemorative photo at the brokerage firm headquarters in Yeouido, western Seoul. [KB SECURITIES]                 KB Securities signed a memorandum of understanding Wednesday with Zum internet in a bid to expand into the financial technology business.             Under the proposed ""Project Vanilla"" joint venture, the two companies will develop various financial services and a mobile stock trading platform, which the company explains will be similar to Menlo Park, California-based Robinhood. The joint venture was approved by the Financial Services Commission on Sept. 9.           The brokerage firm decided to partner with Zum as it started to see a growing number of investors under 40 accustomed to using online financial services.             The two plan to use the machine learning technology, security systems and customer data accumulated by Zum and ESTsoft, its largest shareholder, and the financial expertise of KB Securities.             The venture plans to increase customer convenience through its stock trading platform and set an example for other financial institutions that plan to partner with ICT companies in the future.             BY KANG JAE-EUN  [kang.jaeeun@joongang.co.kr]   "
207,Unsuk Chin named Tongyeong International Music Festival's artistic director,"

     Unsuk Chin [KWON HYUK-JAE]               Korean contemporary composer Unsuk Chin was appointed as the artistic director of the Tongyeong International Music Festival on Wednesday.             According to the Tongyeong International Music Foundation, the tenure of its CEO Florian Riem, who is also the artistic director of the festival, will come to an end at the end of this year; therefore, the decision was made to appoint Chin to spearhead the festival from next year.           The Tongyeong International Music Festival was established in 2002 and is held every spring in the southern coastal city of Tongyeong, South Gyeongsang, showcasing various works including those by internationally celebrated composer Isang Yun (1917-1995), whose hometown was Tongyeong.            This year's festival, however, was canceled due to the coronavirus pandemic.           Chin is a globally sought-after composer who gets commissioned by renowned orchestras including the Berlin Phil, the New York Phil and Radio France Philharmonic, among others.           Chin has also been the first Asian winner of many big-name awards, including the prestigious Wihuri Sibelius International Prize, which she won in 2017.           Early this year, she was named the winner of the sought after Leonie Sonning Music Prize 2021, Denmark’s highest musical honor. She is the first Asian composer to receive the accolade.             Chin is currently an artistic adviser to the Seoul Philharmonic Orchestra.           BY YIM SEUNG-HYE   [sharon@joongang.co.kr]   "
208,Ko Jin-young to end 2-month break at Autech Championship,"

                  World No. 1 Ko Jin-young will end her two-month hiatus in October at a domestic tour event, sources said Tuesday.           Ko has committed to play at the Autech Carrier Championship on the Korea Ladies Professional Golf Association (Klpga) Tour at Sejong Field Golf Club in Sejong City, starting on Oct. 8. It will be Ko's first tournament since another Klpga event, the Jeju Samdasoo Masters, in August.           Ko will then compete in two more Klpga tournaments in October and November before making her long-awaited LPGA season debut at the Pelican Women's Championship on Nov. 19 in Florida.           Ko had planned to play her first LPGA event of the season in March, but the coronavirus outbreak wiped out the tour schedule from mid-February to late July. While a few other Korean stars have rejoined the U.S. circuit since the resumption of play during the pandemic, Ko has chosen to stay home.           After the Pelican Women's Championship, the LPGA Tour will have three tournaments remaining this season, including the postponed major tournament and U.S. Women's Open, from Dec. 10 to 13 in Texas. Ko plans to play in all three.           Yonhap   "
209,Police forward baseball graft case to prosecution,"

                  Police said Wednesday they recommended a former professional baseball club president and two league officials not to be indicted on graft charges.            Suseo Police in southeastern Seoul said it has forwarded the case to the prosecution with a recommendation of non-indictment, having been unable to find enough evidence against the ex-CEO of a KBO club, one umpire and one official league scorer.           Back in December, the KBO began looking into claims the three played golf on several occasions during the 2016 and 2017 regular seasons. The KBO believed these meetings were inappropriate actions that could influence games' outcomes, and lacking further investigative authority, the KBO asked police in March to handle the case.           The KBO received multiple anonymous tips regarding their golf outings.           Under Korea's National Sports Promotion Act, team employees or executives and officials in professional leagues must not receive, demand or promise to accept improper solicitation in connection with their sports.           Yonhap          "
